t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 GWSender.0.6931471805599453 GWReceiver.0.6931471805599453 acceptance_rate
144000 11.0 27.0 17.0 11.0 13.0 4.0 11.0 34.0 40.0 11.0 18.0 37.0 68.0 28.0 4.0 23.0 7.0 7.0 1.0 7.0 12.0 3.375 4.875 0.304
145000 17.0 48.0 41.0 27.0 28.0 9.0 55.0 55.0 98.0 27.0 30.0 59.0 108.0 79.0 14.0 41.0 27.0 21.0 4.0 21.0 32.0 3.25 5.06640625 0.374
146000 12.0 24.0 24.0 12.0 16.0 3.0 26.0 18.0 41.0 20.0 19.0 47.0 45.0 46.0 14.0 20.0 19.0 10.0 2.0 7.0 16.0 3.875 4.71875 0.305
147000 21.0 58.0 53.0 35.0 34.0 10.0 77.0 66.0 129.0 43.0 33.0 70.0 124.0 100.0 23.0 50.0 43.0 30.0 4.0 27.0 43.0 4.375 6.44140625 0.339
148000 11.0 27.0 28.0 11.0 17.0 3.0 49.0 26.0 64.0 15.0 17.0 38.0 54.0 64.0 0.0 20.0 23.0 11.0 0.0 7.0 16.0 2.8125 3.91015625 0.356
149000 9.0 21.0 18.0 6.0 12.0 1.0 34.0 23.0 43.0 10.0 16.0 33.0 44.0 27.0 3.0 19.0 9.0 6.0 0.0 6.0 4.0 2.78125 4.25390625 0.34
150000 9.0 20.0 18.0 9.0 11.0 2.0 22.0 17.0 36.0 15.0 14.0 35.0 38.0 32.0 4.0 17.0 13.0 6.0 0.0 4.0 12.0 2.625 3.84375 0.308
151000 20.0 48.0 42.0 26.0 30.0 9.0 53.0 48.0 92.0 25.0 36.0 70.0 100.0 78.0 12.0 36.0 26.0 20.0 3.0 20.0 27.0 5.28125 7.19140625 0.349
152000 18.0 41.0 41.0 24.0 25.0 7.0 61.0 37.0 86.0 25.0 29.0 65.0 84.0 81.0 14.0 27.0 31.0 15.0 2.0 16.0 27.0 5.0 6.53515625 0.332
153000 15.0 45.0 43.0 21.0 26.0 5.0 71.0 55.0 112.0 33.0 24.0 56.0 98.0 84.0 8.0 39.0 30.0 22.0 1.0 19.0 30.0 2.5625 4.06640625 0.347
154000 10.0 23.0 24.0 14.0 16.0 5.0 40.0 19.0 47.0 16.0 15.0 38.0 44.0 60.0 10.0 19.0 17.0 11.0 3.0 11.0 19.0 2.625 3.62890625 0.317
155000 19.0 48.0 44.0 27.0 32.0 9.0 55.0 45.0 87.0 31.0 31.0 59.0 105.0 92.0 16.0 35.0 29.0 24.0 4.0 18.0 35.0 3.96875 5.50390625 0.347
156000 21.0 52.0 49.0 36.0 33.0 11.0 65.0 53.0 104.0 36.0 33.0 70.0 111.0 100.0 21.0 41.0 35.0 22.0 3.0 29.0 49.0 5.125 6.72265625 0.368
157000 17.0 41.0 35.0 21.0 25.0 7.0 47.0 38.0 74.0 19.0 29.0 57.0 88.0 75.0 12.0 28.0 20.0 15.0 3.0 14.0 30.0 4.25 6.44140625 0.322
158000 19.0 53.0 48.0 35.0 31.0 11.0 70.0 61.0 119.0 34.0 31.0 64.0 118.0 105.0 19.0 43.0 34.0 24.0 5.0 30.0 49.0 3.9375 5.81640625 0.356
159000 12.0 21.0 19.0 5.0 13.0 1.0 33.0 17.0 36.0 8.0 20.0 36.0 42.0 40.0 1.0 16.0 9.0 7.0 0.0 3.0 5.0 5.125 6.62890625 0.355
160000 14.0 39.0 32.0 24.0 23.0 8.0 44.0 45.0 75.0 21.0 23.0 47.0 89.0 64.0 10.0 33.0 18.0 15.0 2.0 16.0 28.0 2.75 4.50390625 0.358
161000 17.0 47.0 45.0 29.0 29.0 8.0 64.0 51.0 101.0 35.0 26.0 59.0 97.0 89.0 19.0 41.0 34.0 22.0 3.0 22.0 34.0 3.125 4.47265625 0.323
162000 17.0 44.0 37.0 25.0 27.0 8.0 47.0 47.0 80.0 25.0 29.0 60.0 95.0 70.0 10.0 35.0 22.0 17.0 2.0 16.0 32.0 3.75 5.62890625 0.324
163000 23.0 59.0 55.0 40.0 36.0 11.0 74.0 64.0 126.0 40.0 41.0 78.0 127.0 104.0 22.0 46.0 37.0 25.0 4.0 36.0 50.0 5.5625 7.28515625 0.354
164000 21.0 55.0 50.0 36.0 33.0 11.0 71.0 63.0 119.0 37.0 34.0 72.0 121.0 105.0 22.0 45.0 36.0 24.0 4.0 27.0 48.0 5.3125 7.16015625 0.372
165000 17.0 45.0 42.0 29.0 27.0 8.0 60.0 49.0 95.0 29.0 28.0 60.0 98.0 81.0 11.0 36.0 28.0 17.0 1.0 21.0 33.0 3.625 5.09765625 0.334
166000 13.0 39.0 34.0 23.0 21.0 6.0 53.0 47.0 87.0 22.0 21.0 46.0 91.0 69.0 7.0 32.0 21.0 13.0 1.0 16.0 27.0 2.125 3.78515625 0.328
167000 17.0 44.0 44.0 25.0 28.0 8.0 67.0 47.0 104.0 30.0 28.0 63.0 87.0 87.0 6.0 33.0 33.0 18.0 0.0 21.0 29.0 4.03125 5.28515625 0.348
168000 22.0 61.0 57.0 41.0 35.0 11.0 78.0 64.0 136.0 41.0 40.0 70.0 138.0 121.0 24.0 47.0 39.0 30.0 5.0 41.0 52.0 3.96875 5.87890625 0.361
169000 18.0 42.0 40.0 20.0 25.0 5.0 56.0 41.0 80.0 28.0 28.0 62.0 91.0 83.0 6.0 33.0 28.0 18.0 0.0 15.0 31.0 5.09375 6.34765625 0.322
170000 13.0 27.0 27.0 14.0 17.0 5.0 46.0 20.0 50.0 17.0 20.0 47.0 51.0 51.0 4.0 18.0 18.0 9.0 0.0 7.0 12.0 3.875 5.59765625 0.375
171000 20.0 44.0 45.0 28.0 29.0 8.0 61.0 35.0 85.0 31.0 33.0 75.0 92.0 96.0 17.0 32.0 34.0 20.0 2.0 23.0 41.0 5.4375 6.84765625 0.313
172000 17.0 40.0 38.0 22.0 27.0 7.0 49.0 36.0 70.0 29.0 27.0 61.0 81.0 83.0 11.0 33.0 30.0 20.0 2.0 14.0 28.0 4.09375 5.44140625 0.325
173000 13.0 34.0 29.0 12.0 18.0 2.0 42.0 35.0 65.0 17.0 22.0 42.0 80.0 63.0 3.0 26.0 19.0 11.0 0.0 9.0 22.0 2.71875 4.50390625 0.344
174000 18.0 45.0 46.0 34.0 30.0 11.0 64.0 38.0 91.0 33.0 29.0 64.0 91.0 99.0 26.0 34.0 37.0 21.0 5.0 27.0 50.0 3.5625 4.97265625 0.333
175000 21.0 59.0 55.0 38.0 37.0 11.0 73.0 64.0 124.0 45.0 34.0 70.0 127.0 110.0 27.0 51.0 39.0 29.0 5.0 31.0 49.0 3.6875 5.28515625 0.327
176000 19.0 40.0 42.0 30.0 26.0 9.0 61.0 33.0 84.0 27.0 31.0 68.0 81.0 87.0 20.0 26.0 31.0 15.0 3.0 23.0 39.0 5.9375 7.22265625 0.382
177000 21.0 49.0 41.0 24.0 30.0 7.0 50.0 48.0 84.0 25.0 35.0 66.0 109.0 82.0 7.0 35.0 23.0 18.0 1.0 15.0 32.0 5.78125 8.06640625 0.326
178000 19.0 49.0 45.0 30.0 30.0 9.0 60.0 52.0 92.0 27.0 33.0 59.0 112.0 95.0 12.0 38.0 30.0 20.0 2.0 28.0 39.0 4.25 5.78515625 0.368
179000 24.0 61.0 58.0 40.0 39.0 12.0 78.0 64.0 128.0 43.0 39.0 83.0 129.0 109.0 24.0 48.0 42.0 29.0 4.0 32.0 46.0 5.6875 7.47265625 0.341
180000 17.0 47.0 45.0 38.0 29.0 12.0 65.0 52.0 103.0 34.0 27.0 62.0 103.0 96.0 24.0 39.0 33.0 20.0 4.0 29.0 47.0 3.25 4.59765625 0.357
181000 17.0 46.0 43.0 23.0 28.0 6.0 63.0 54.0 105.0 29.0 26.0 56.0 98.0 86.0 7.0 36.0 29.0 18.0 1.0 15.0 29.0 3.9375 5.22265625 0.366
182000 13.0 38.0 31.0 15.0 19.0 3.0 48.0 41.0 74.0 20.0 21.0 44.0 88.0 65.0 3.0 31.0 22.0 14.0 0.0 7.0 19.0 1.96875 4.28515625 0.328
183000 16.0 42.0 41.0 25.0 25.0 6.0 60.0 42.0 88.0 30.0 25.0 58.0 89.0 87.0 16.0 34.0 31.0 19.0 2.0 18.0 31.0 3.21875 4.59765625 0.323
184000 22.0 65.0 61.0 44.0 39.0 12.0 88.0 75.0 153.0 46.0 37.0 75.0 143.0 126.0 19.0 50.0 42.0 31.0 3.0 42.0 65.0 3.5625 5.50390625 0.33
185000 19.0 54.0 50.0 33.0 34.0 10.0 70.0 59.0 114.0 36.0 30.0 62.0 112.0 97.0 15.0 45.0 36.0 25.0 3.0 22.0 37.0 3.25 5.03515625 0.383
186000 12.0 29.0 32.0 13.0 20.0 4.0 55.0 27.0 70.0 21.0 18.0 41.0 59.0 68.0 2.0 21.0 27.0 14.0 0.0 9.0 16.0 3.0625 3.97265625 0.343
187000 15.0 38.0 31.0 17.0 22.0 5.0 42.0 39.0 67.0 19.0 25.0 46.0 81.0 61.0 5.0 30.0 19.0 15.0 1.0 10.0 20.0 3.59375 5.62890625 0.339
188000 23.0 64.0 60.0 44.0 40.0 13.0 83.0 68.0 138.0 47.0 37.0 79.0 136.0 123.0 33.0 53.0 45.0 34.0 7.0 36.0 62.0 4.0625 6.19140625 0.368
189000 15.0 40.0 35.0 19.0 23.0 6.0 55.0 46.0 82.0 30.0 24.0 53.0 88.0 62.0 17.0 37.0 29.0 19.0 3.0 13.0 22.0 3.5 5.47265625 0.346
190000 13.0 30.0 28.0 12.0 18.0 3.0 40.0 24.0 54.0 12.0 23.0 43.0 67.0 53.0 3.0 17.0 15.0 8.0 0.0 8.0 14.0 3.0625 4.62890625 0.326
191000 15.0 32.0 29.0 17.0 20.0 6.0 44.0 25.0 54.0 16.0 26.0 52.0 62.0 57.0 3.0 22.0 15.0 10.0 0.0 9.0 17.0 4.375 6.41015625 0.352
192000 19.0 45.0 46.0 28.0 29.0 7.0 64.0 42.0 93.0 35.0 31.0 70.0 90.0 90.0 18.0 36.0 37.0 22.0 2.0 23.0 33.0 4.84375 5.97265625 0.354
193000 21.0 48.0 46.0 29.0 30.0 7.0 63.0 48.0 101.0 33.0 35.0 72.0 101.0 96.0 11.0 36.0 31.0 20.0 1.0 22.0 45.0 6.28125 7.72265625 0.382
194000 19.0 51.0 44.0 28.0 32.0 9.0 59.0 52.0 96.0 31.0 33.0 66.0 104.0 89.0 13.0 40.0 29.0 23.0 3.0 18.0 38.0 3.65625 5.97265625 0.368
195000 19.0 55.0 51.0 34.0 33.0 10.0 74.0 62.0 123.0 37.0 31.0 64.0 119.0 110.0 21.0 45.0 37.0 26.0 5.0 28.0 46.0 3.1875 5.00390625 0.34
196000 12.0 30.0 30.0 15.0 21.0 5.0 46.0 28.0 59.0 20.0 21.0 45.0 63.0 65.0 3.0 25.0 20.0 13.0 0.0 12.0 18.0 2.53125 3.69140625 0.341
197000 18.0 47.0 46.0 30.0 31.0 9.0 63.0 45.0 96.0 33.0 28.0 60.0 93.0 85.0 12.0 37.0 35.0 23.0 2.0 18.0 31.0 3.46875 4.84765625 0.334
198000 15.0 39.0 37.0 18.0 24.0 5.0 56.0 40.0 81.0 21.0 24.0 49.0 82.0 67.0 2.0 27.0 23.0 14.0 0.0 8.0 17.0 3.21875 4.72265625 0.315
199000 13.0 33.0 36.0 20.0 20.0 4.0 58.0 29.0 77.0 26.0 20.0 50.0 69.0 67.0 17.0 25.0 30.0 14.0 2.0 17.0 24.0 2.5625 3.59765625 0.298
200000 6.0 9.0 6.0 2.0 5.0 1.0 2.0 5.0 5.0 3.0 10.0 21.0 18.0 7.0 0.0 8.0 2.0 2.0 0.0 0.0 0.0 2.625 3.5 0.317
201000 11.0 28.0 24.0 10.0 14.0 2.0 39.0 27.0 56.0 11.0 19.0 38.0 63.0 49.0 3.0 21.0 16.0 8.0 0.0 7.0 17.0 2.5625 4.37890625 0.313
202000 27.0 72.0 74.0 56.0 45.0 15.0 107.0 78.0 170.0 54.0 45.0 84.0 156.0 161.0 34.0 54.0 56.0 37.0 7.0 62.0 74.0 5.6875 6.94140625 0.332
203000 15.0 39.0 32.0 26.0 23.0 9.0 44.0 45.0 75.0 21.0 25.0 53.0 86.0 68.0 16.0 33.0 18.0 15.0 4.0 17.0 33.0 3.75 5.50390625 0.344
204000 20.0 46.0 42.0 29.0 27.0 8.0 57.0 43.0 86.0 27.0 33.0 69.0 98.0 87.0 8.0 33.0 27.0 17.0 0.0 18.0 37.0 5.46875 7.47265625 0.319
205000 18.0 51.0 50.0 40.0 32.0 12.0 72.0 58.0 118.0 40.0 29.0 65.0 106.0 110.0 30.0 43.0 37.0 24.0 6.0 33.0 55.0 3.3125 4.41015625 0.334
206000 14.0 34.0 27.0 14.0 19.0 4.0 38.0 39.0 62.0 17.0 23.0 46.0 74.0 38.0 6.0 29.0 16.0 12.0 1.0 7.0 9.0 4.0 5.75390625 0.35
207000 23.0 59.0 52.0 38.0 33.0 11.0 73.0 67.0 123.0 34.0 40.0 73.0 134.0 109.0 26.0 47.0 38.0 28.0 6.0 40.0 51.0 6.0 8.25390625 0.309
208000 21.0 55.0 49.0 34.0 33.0 10.0 68.0 63.0 119.0 36.0 35.0 70.0 118.0 90.0 12.0 42.0 29.0 20.0 1.0 22.0 44.0 5.125 7.03515625 0.352
209000 13.0 30.0 25.0 12.0 16.0 2.0 37.0 31.0 55.0 14.0 21.0 45.0 68.0 40.0 4.0 23.0 13.0 9.0 0.0 9.0 11.0 3.84375 5.50390625 0.298
210000 16.0 41.0 34.0 18.0 25.0 7.0 49.0 45.0 76.0 26.0 27.0 51.0 87.0 71.0 2.0 36.0 18.0 16.0 0.0 9.0 23.0 3.9375 6.03515625 0.335
211000 17.0 45.0 38.0 23.0 29.0 8.0 46.0 49.0 82.0 25.0 29.0 57.0 97.0 71.0 8.0 35.0 22.0 21.0 2.0 14.0 25.0 3.625 5.00390625 0.325
212000 23.0 59.0 55.0 47.0 36.0 14.0 74.0 64.0 126.0 42.0 38.0 78.0 129.0 113.0 31.0 47.0 37.0 24.0 5.0 39.0 65.0 5.5625 7.28515625 0.332
213000 13.0 33.0 27.0 11.0 20.0 3.0 40.0 34.0 58.0 17.0 23.0 45.0 65.0 50.0 3.0 27.0 14.0 13.0 0.0 6.0 11.0 2.96875 4.94140625 0.374
214000 18.0 47.0 41.0 20.0 27.0 5.0 58.0 50.0 98.0 25.0 31.0 58.0 104.0 66.0 1.0 34.0 25.0 19.0 0.0 16.0 20.0 3.96875 6.09765625 0.369
215000 20.0 45.0 40.0 27.0 28.0 9.0 53.0 47.0 86.0 25.0 33.0 65.0 93.0 72.0 6.0 35.0 26.0 17.0 1.0 15.0 24.0 6.25 7.91015625 0.356
216000 18.0 49.0 45.0 31.0 27.0 8.0 69.0 57.0 113.0 32.0 28.0 64.0 109.0 90.0 14.0 40.0 30.0 21.0 2.0 23.0 36.0 4.0625 5.87890625 0.324
217000 26.0 69.0 68.0 51.0 41.0 14.0 101.0 77.0 160.0 50.0 44.0 84.0 149.0 141.0 31.0 56.0 54.0 36.0 7.0 50.0 63.0 6.125 7.87890625 0.34
218000 19.0 49.0 46.0 31.0 31.0 9.0 64.0 53.0 103.0 34.0 31.0 68.0 102.0 93.0 14.0 41.0 33.0 22.0 2.0 22.0 38.0 4.5 5.97265625 0.339
219000 13.0 34.0 37.0 25.0 22.0 7.0 59.0 30.0 78.0 27.0 21.0 49.0 69.0 83.0 17.0 27.0 32.0 16.0 2.0 20.0 38.0 2.3125 3.34765625 0.368
220000 14.0 35.0 35.0 14.0 21.0 3.0 53.0 33.0 76.0 18.0 25.0 53.0 76.0 76.0 1.0 23.0 24.0 13.0 0.0 12.0 19.0 3.125 4.37890625 0.321
221000 14.0 42.0 31.0 16.0 20.0 4.0 43.0 50.0 79.0 19.0 25.0 48.0 104.0 62.0 5.0 36.0 18.0 15.0 1.0 15.0 26.0 2.25 4.75390625 0.33
222000 21.0 54.0 51.0 38.0 33.0 11.0 69.0 57.0 112.0 37.0 34.0 72.0 116.0 99.0 21.0 43.0 36.0 22.0 3.0 33.0 47.0 4.875 6.47265625 0.315
223000 13.0 29.0 24.0 10.0 15.0 1.0 37.0 31.0 55.0 15.0 21.0 43.0 67.0 39.0 4.0 24.0 14.0 10.0 0.0 9.0 11.0 4.34375 6.00390625 0.332
224000 21.0 59.0 56.0 41.0 36.0 12.0 78.0 66.0 132.0 42.0 35.0 70.0 124.0 116.0 28.0 45.0 41.0 25.0 5.0 37.0 56.0 3.875 5.47265625 0.326
225000 10.0 25.0 23.0 9.0 16.0 2.0 37.0 20.0 43.0 14.0 16.0 33.0 48.0 44.0 3.0 20.0 15.0 9.0 0.0 6.0 11.0 1.875 3.50390625 0.345
226000 18.0 41.0 42.0 30.0 26.0 9.0 61.0 34.0 85.0 28.0 29.0 65.0 80.0 85.0 20.0 28.0 31.0 16.0 3.0 21.0 38.0 4.6875 6.22265625 0.356
227000 17.0 48.0 42.0 22.0 29.0 6.0 57.0 53.0 96.0 29.0 28.0 59.0 103.0 87.0 5.0 41.0 28.0 22.0 1.0 16.0 30.0 3.0 4.78515625 0.339
228000 17.0 46.0 40.0 26.0 28.0 8.0 51.0 50.0 89.0 28.0 29.0 61.0 101.0 89.0 16.0 39.0 27.0 20.0 4.0 21.0 41.0 3.375 5.00390625 0.34
229000 16.0 41.0 39.0 21.0 23.0 4.0 55.0 38.0 84.0 26.0 27.0 56.0 94.0 89.0 5.0 30.0 27.0 16.0 0.0 19.0 39.0 3.25 4.87890625 0.345
230000 12.0 32.0 27.0 12.0 18.0 2.0 39.0 33.0 59.0 18.0 20.0 40.0 70.0 42.0 4.0 27.0 17.0 13.0 0.0 8.0 10.0 2.34375 4.00390625 0.294
231000 14.0 40.0 37.0 21.0 23.0 5.0 57.0 44.0 90.0 24.0 23.0 50.0 85.0 80.0 4.0 30.0 25.0 15.0 0.0 14.0 30.0 2.40625 3.97265625 0.37
232000 17.0 48.0 42.0 25.0 28.0 7.0 58.0 55.0 101.0 28.0 29.0 58.0 106.0 86.0 10.0 37.0 27.0 18.0 2.0 17.0 36.0 3.1875 5.00390625 0.323
233000 19.0 45.0 44.0 31.0 29.0 9.0 61.0 43.0 91.0 31.0 32.0 67.0 94.0 97.0 17.0 35.0 32.0 20.0 3.0 24.0 44.0 4.96875 6.34765625 0.364
234000 18.0 46.0 43.0 26.0 26.0 6.0 55.0 48.0 93.0 25.0 30.0 56.0 100.0 86.0 12.0 34.0 26.0 17.0 2.0 20.0 33.0 4.28125 5.19140625 0.363
235000 12.0 29.0 25.0 14.0 16.0 3.0 37.0 31.0 57.0 14.0 19.0 39.0 73.0 53.0 4.0 19.0 12.0 10.0 0.0 10.0 17.0 3.34375 4.50390625 0.336
236000 21.0 54.0 48.0 31.0 32.0 9.0 64.0 57.0 105.0 33.0 34.0 72.0 122.0 101.0 11.0 43.0 32.0 22.0 1.0 27.0 46.0 4.875 6.97265625 0.325
237000 24.0 56.0 53.0 37.0 36.0 12.0 69.0 51.0 108.0 35.0 42.0 78.0 117.0 109.0 13.0 38.0 31.0 25.0 3.0 28.0 45.0 6.03125 8.00390625 0.313
238000 22.0 57.0 53.0 34.0 34.0 9.0 74.0 57.0 119.0 41.0 34.0 73.0 122.0 111.0 21.0 46.0 38.0 28.0 3.0 26.0 49.0 4.78125 7.00390625 0.33
239000 15.0 38.0 34.0 13.0 20.0 1.0 52.0 40.0 79.0 23.0 24.0 53.0 84.0 63.0 4.0 31.0 24.0 14.0 0.0 12.0 21.0 3.71875 5.53515625 0.349
240000 19.0 53.0 49.0 31.0 28.0 7.0 72.0 59.0 120.0 34.0 33.0 66.0 122.0 96.0 12.0 41.0 34.0 24.0 3.0 27.0 35.0 3.5625 5.50390625 0.362
241000 15.0 36.0 30.0 12.0 22.0 3.0 41.0 35.0 61.0 18.0 26.0 52.0 74.0 54.0 3.0 27.0 14.0 13.0 0.0 7.0 13.0 3.71875 5.69140625 0.366
242000 14.0 32.0 35.0 15.0 21.0 3.0 56.0 28.0 73.0 23.0 22.0 49.0 58.0 61.0 5.0 25.0 29.0 15.0 0.0 10.0 15.0 3.8125 4.72265625 0.349
243000 15.0 37.0 30.0 22.0 22.0 8.0 39.0 40.0 64.0 18.0 26.0 53.0 80.0 51.0 6.0 30.0 17.0 13.0 1.0 11.0 17.0 3.75 5.50390625 0.319
244000 20.0 49.0 48.0 38.0 29.0 10.0 68.0 49.0 105.0 34.0 32.0 68.0 103.0 97.0 20.0 35.0 33.0 18.0 2.0 29.0 48.0 5.03125 6.53515625 0.337
245000 14.0 34.0 37.0 24.0 21.0 6.0 59.0 30.0 79.0 26.0 20.0 51.0 69.0 76.0 17.0 25.0 30.0 14.0 2.0 18.0 31.0 3.3125 4.34765625 0.34
246000 18.0 43.0 41.0 25.0 26.0 6.0 58.0 41.0 86.0 29.0 29.0 63.0 93.0 88.0 8.0 34.0 29.0 18.0 0.0 20.0 36.0 4.59375 6.22265625 0.334
247000 16.0 43.0 37.0 17.0 24.0 3.0 52.0 44.0 83.0 25.0 28.0 56.0 92.0 69.0 4.0 35.0 24.0 16.0 0.0 13.0 24.0 3.09375 5.16015625 0.35
248000 23.0 58.0 56.0 43.0 36.0 13.0 82.0 64.0 127.0 40.0 39.0 79.0 126.0 116.0 28.0 45.0 42.0 29.0 6.0 40.0 53.0 5.875 7.53515625 0.357
249000 20.0 44.0 43.0 25.0 28.0 7.0 59.0 36.0 85.0 26.0 34.0 70.0 91.0 87.0 10.0 29.0 27.0 15.0 1.0 18.0 33.0 5.5625 7.34765625 0.313
250000 18.0 45.0 42.0 26.0 27.0 7.0 61.0 50.0 97.0 30.0 28.0 61.0 99.0 89.0 9.0 37.0 30.0 19.0 1.0 21.0 36.0 4.875 6.34765625 0.376
251000 20.0 50.0 52.0 36.0 32.0 11.0 70.0 46.0 108.0 37.0 36.0 69.0 105.0 108.0 21.0 39.0 40.0 26.0 5.0 32.0 47.0 4.5 5.22265625 0.354
252000 11.0 28.0 26.0 13.0 16.0 3.0 28.0 33.0 50.0 22.0 18.0 38.0 67.0 63.0 8.0 27.0 24.0 14.0 1.0 13.0 14.0 2.75 3.21875 0.309
253000 21.0 57.0 51.0 35.0 34.0 10.0 69.0 62.0 116.0 37.0 35.0 73.0 123.0 105.0 21.0 45.0 35.0 23.0 3.0 27.0 52.0 4.1875 6.28515625 0.372
254000 12.0 29.0 26.0 12.0 17.0 3.0 26.0 24.0 49.0 18.0 19.0 41.0 58.0 51.0 4.0 20.0 20.0 10.0 0.0 6.0 15.0 2.5625 3.84375 0.357
255000 20.0 50.0 49.0 34.0 30.0 10.0 76.0 57.0 113.0 33.0 32.0 66.0 110.0 100.0 18.0 38.0 37.0 23.0 3.0 32.0 36.0 5.375 6.78515625 0.354
256000 20.0 51.0 46.0 33.0 29.0 8.0 59.0 50.0 99.0 34.0 34.0 64.0 115.0 99.0 13.0 40.0 30.0 20.0 1.0 27.0 53.0 4.28125 6.25390625 0.33
257000 15.0 36.0 33.0 15.0 22.0 4.0 46.0 31.0 66.0 21.0 26.0 52.0 74.0 55.0 3.0 26.0 23.0 14.0 0.0 10.0 18.0 3.4375 5.19140625 0.335
258000 17.0 41.0 42.0 23.0 25.0 5.0 62.0 40.0 89.0 30.0 27.0 63.0 89.0 88.0 16.0 31.0 33.0 18.0 2.0 23.0 32.0 4.34375 5.47265625 0.35
259000 17.0 42.0 35.0 28.0 26.0 10.0 45.0 46.0 77.0 23.0 29.0 60.0 93.0 73.0 16.0 35.0 20.0 17.0 4.0 20.0 36.0 4.5 6.25390625 0.304
260000 19.0 47.0 40.0 23.0 29.0 8.0 51.0 52.0 91.0 26.0 33.0 66.0 99.0 71.0 6.0 38.0 27.0 20.0 1.0 16.0 22.0 5.0625 6.81640625 0.348
261000 18.0 47.0 42.0 25.0 27.0 6.0 62.0 54.0 104.0 31.0 30.0 59.0 104.0 76.0 8.0 39.0 29.0 20.0 1.0 20.0 29.0 4.4375 6.28515625 0.335
262000 17.0 41.0 41.0 30.0 25.0 8.0 59.0 39.0 85.0 28.0 27.0 61.0 83.0 81.0 18.0 30.0 29.0 15.0 2.0 20.0 34.0 4.09375 5.34765625 0.377
263000 28.0 70.0 69.0 54.0 43.0 15.0 92.0 71.0 147.0 50.0 49.0 93.0 149.0 139.0 32.0 54.0 53.0 36.0 7.0 54.0 66.0 6.5 8.09765625 0.367
264000 25.0 66.0 60.0 44.0 41.0 14.0 78.0 71.0 131.0 41.0 45.0 81.0 147.0 123.0 26.0 53.0 41.0 33.0 6.0 45.0 60.0 5.375 7.37890625 0.357
265000 15.0 34.0 33.0 16.0 22.0 5.0 52.0 32.0 65.0 23.0 24.0 52.0 72.0 72.0 5.0 27.0 21.0 14.0 0.0 12.0 19.0 4.28125 5.84765625 0.322
266000 17.0 40.0 37.0 20.0 26.0 6.0 52.0 38.0 75.0 27.0 26.0 56.0 82.0 73.0 5.0 31.0 28.0 18.0 0.0 14.0 26.0 4.46875 6.16015625 0.322
267000 23.0 63.0 61.0 44.0 40.0 13.0 84.0 70.0 143.0 45.0 37.0 75.0 130.0 112.0 26.0 48.0 42.0 27.0 4.0 36.0 53.0 4.625 6.03515625 0.322
268000 18.0 44.0 43.0 26.0 27.0 6.0 62.0 43.0 92.0 33.0 29.0 66.0 91.0 84.0 21.0 35.0 34.0 20.0 3.0 19.0 32.0 4.46875 5.97265625 0.355
269000 17.0 46.0 43.0 27.0 29.0 9.0 60.0 52.0 101.0 32.0 29.0 57.0 104.0 90.0 12.0 36.0 27.0 23.0 3.0 20.0 33.0 3.5625 4.59765625 0.355
270000 15.0 34.0 38.0 21.0 23.0 6.0 59.0 29.0 77.0 26.0 22.0 55.0 66.0 84.0 14.0 25.0 33.0 16.0 2.0 17.0 28.0 4.0625 4.84765625 0.304
271000 24.0 60.0 55.0 40.0 38.0 12.0 70.0 63.0 121.0 39.0 41.0 78.0 128.0 110.0 14.0 46.0 36.0 25.0 2.0 34.0 57.0 5.9375 7.72265625 0.345
272000 16.0 41.0 32.0 19.0 21.0 5.0 43.0 43.0 73.0 18.0 27.0 54.0 99.0 72.0 7.0 32.0 18.0 14.0 1.0 15.0 30.0 3.84375 6.25390625 0.34
273000 17.0 39.0 31.0 16.0 23.0 5.0 39.0 37.0 61.0 19.0 29.0 55.0 91.0 71.0 9.0 30.0 19.0 16.0 2.0 12.0 27.0 4.71875 7.00390625 0.347
274000 15.0 39.0 37.0 21.0 22.0 4.0 57.0 40.0 84.0 27.0 23.0 53.0 84.0 76.0 8.0 32.0 27.0 16.0 0.0 14.0 26.0 3.34375 4.97265625 0.33
275000 16.0 40.0 37.0 22.0 25.0 7.0 50.0 39.0 74.0 24.0 27.0 56.0 90.0 87.0 11.0 31.0 24.0 18.0 3.0 17.0 31.0 3.59375 5.06640625 0.315
276000 22.0 61.0 56.0 40.0 37.0 11.0 76.0 68.0 133.0 42.0 38.0 74.0 124.0 100.0 18.0 48.0 37.0 25.0 2.0 31.0 50.0 4.25 6.09765625 0.332
277000 16.0 39.0 38.0 23.0 23.0 5.0 57.0 39.0 83.0 25.0 24.0 56.0 81.0 76.0 8.0 29.0 26.0 14.0 0.0 14.0 26.0 4.09375 5.47265625 0.346
278000 12.0 32.0 30.0 16.0 19.0 4.0 50.0 36.0 72.0 20.0 18.0 43.0 72.0 67.0 5.0 26.0 20.0 13.0 1.0 11.0 21.0 2.84375 4.16015625 0.3
